Strain,BioRep,Day,Condition,CFU
Jec21,1,0,H,133500000
Dcr1-2,1,0,H,96833333
Rdp1,1,0,H,129900000
Jec21,2,0,H,73766667
Dcr1-2,2,0,H,129900000
Rdp1,2,0,H,25866667
Jec21,1,0,N,133500000
Dcr1-2,1,0,N,96833333
Rdp1,1,0,N,129900000
Jec21,2,0,N,73766667
Dcr1-2,2,0,N,129900000
Rdp1,2,0,N,25866667
Jec21,1,6,H,142500000
Dcr1-2,1,6,H,87000000
Rdp1,1,6,H,82500000
Jec21,2,6,H,102500000
Dcr1-2,2,6,H,85500000
Rdp1,2,6,H,141500000
Jec21,1,6,N,438500000
Dcr1-2,1,6,N,421500000
Rdp1,1,6,N,411000000
Jec21,2,6,N,468000000
Dcr1-2,2,6,N,507000000
Rdp1,2,6,N,467000000
Jec21,1,8,H,157000000
Dcr1-2,1,8,H,270500000
Rdp1,1,8,H,85000000
Jec21,2,8,H,130500000
Dcr1-2,2,8,H,134500000
Rdp1,2,8,H,155500000
Jec21,1,8,N,627500000
Dcr1-2,1,8,N,357500000
Rdp1,1,8,N,538500000
Jec21,2,8,N,508000000
Dcr1-2,2,8,N,513500000
Rdp1,2,8,N,511500000
