Well,Strain,OD595,Cell_No
B2,blank,0.155,0
B2,dcR_1_H,1.5509,2705
B2,dcR_1_N,2.072700024,3575
B2,dcR_2_H,1.790099978,179
B2,dcR_2_N,1.596899986,685
B2,RdRp_1_H,1.747300029,65
B2,RdRp_1_N,1.244600058,414
B2,RdRp_2_H,2.06520009,620
B2,RdRp_2_N,1.751099944,2046
B2,JEC21_1_H,1.873800039,121
B2,JEC21_1_N,2.092200041,481
B2,JEC21_2_H,2.092700005,173
B2,JEC21_2_N,1.856899977,677
B3,blank,0.1546,0
B3,dcR_1_H,1.6745,2705
B3,dcR_1_N,1.587800026,3575
B3,dcR_2_H,1.874199986,179
B3,dcR_2_N,1.584300041,685
B3,RdRp_1_H,1.767699957,65
B3,RdRp_1_N,1.376000047,414
B3,RdRp_2_H,1.943199992,620
B3,RdRp_2_N,1.699599981,2046
B3,JEC21_1_H,1.754600048,121
B3,JEC21_1_N,2.048199892,481
B3,JEC21_2_H,2.020200014,173
B3,JEC21_2_N,1.729200006,677
B4,blank,0.1556,0
B4,dcR_1_H,1.9848,2705
B4,dcR_1_N,2.211499929,3575
B4,dcR_2_H,1.831799984,179
B4,dcR_2_N,1.741099954,685
B4,RdRp_1_H,1.696699977,65
B4,RdRp_1_N,1.628299952,414
B4,RdRp_2_H,1.886899948,620
B4,RdRp_2_N,1.789299965,2046
B4,JEC21_1_H,1.941699982,121
B4,JEC21_1_N,2.112400055,481
B4,JEC21_2_H,1.976400018,173
B4,JEC21_2_N,0.108099997,677
B5,blank,0.1577,0
B5,dcR_1_H,1.971,2705
B5,dcR_1_N,1.719300032,3575
B5,dcR_2_H,2.078999996,179
B5,dcR_2_N,1.740399957,685
B5,RdRp_1_H,1.726500034,65
B5,RdRp_1_N,1.63440001,414
B5,RdRp_2_H,2.005399942,620
B5,RdRp_2_N,1.797000051,2046
B5,JEC21_1_H,1.822100043,121
B5,JEC21_1_N,2.063299894,481
B5,JEC21_2_H,2.039000034,173
B5,JEC21_2_N,1.758100033,677
B6,blank,0.1559,0
B6,dcR_1_H,2.0491,2705
B6,dcR_1_N,1.583299994,3575
B6,dcR_2_H,2.124500036,179
