Well,Strain,BioRep,TechRep,Medium,Condition
A1,,,,YPD,
A2,,,,YPD,
A3,,,,YPD,
A4,,,,YPD,
A5,,,,YPD,
A6,,,,YPD,
A7,,,,YPD,
A8,,,,YPD,
A9,,,,YPD,
A10,,,,YPD,
A11,,,,YPD,
A12,,,,YPD,
B1,,,,YPD,
B2,JEC21-3084,1,1,YPD,N
B3,JEC21-3084,1,4,YPD,N
B4,dcR1-2-6595,1,2,YPD,N
B5,dcR1-2-6595,1,5,YPD,N
B6,RdRp1-6594,1,3,YPD,N
B7,JEC21-3084,2,1,YPD,N
B8,JEC21-3084,2,4,YPD,N
B9,dcR1-2-6595,2,2,YPD,N
B10,dcR1-2-6595,2,5,YPD,N
B11,RdRp1-6594,2,3,YPD,N
B12,,,,YPD,
C1,,,,YPD,
C2,JEC21-3084,1,2,YPD,N
C3,JEC21-3084,1,5,YPD,N
C4,dcR1-2-6595,1,3,YPD,N
C5,RdRp1-6594,1,1,YPD,N
C6,RdRp1-6594,2,4,YPD,N
C7,JEC21-3084,2,2,YPD,N
C8,JEC21-3084,2,5,YPD,N
C9,dcR1-2-6595,2,3,YPD,N
C10,RdRp1-6594,2,1,YPD,N
C11,RdRp1-6594,2,4,YPD,N
C12,,,,YPD,
D1,,,,YPD,
D2,JEC21-3084,1,3,YPD,N
D3,dcR1-2-6595,1,1,YPD,N
D4,dcR1-2-6595,1,4,YPD,N
D5,RdRp1-6594,1,2,YPD,N
D6,RdRp1-6594,1,5,YPD,N
D7,JEC21-3084,2,3,YPD,N
D8,dcR1-2-6595,2,1,YPD,N
D9,dcR1-2-6595,2,4,YPD,N
D10,RdRp1-6594,2,2,YPD,N
D11,RdRp1-6594,2,5,YPD,N
D12,,,,YPD,
E1,,,,YPD,
E2,JEC21-3084,1,1,YPD,H
E3,JEC21-3084,1,4,YPD,H
E4,dcR1-2-6595,1,2,YPD,H
E5,dcR1-2-6595,1,5,YPD,H
E6,RdRp1-6594,1,3,YPD,H
E7,JEC21-3084,2,1,YPD,H
E8,JEC21-3084,2,4,YPD,H
E9,dcR1-2-6595,2,2,YPD,H
E10,dcR1-2-6595,2,5,YPD,H
E11,RdRp1-6594,2,3,YPD,H
E12,,,,YPD,
F1,,,,YPD,
F2,JEC21-3084,1,2,YPD,H
F3,JEC21-3084,1,5,YPD,H
F4,dcR1-2-6595,1,3,YPD,H
F5,RdRp1-6594,1,1,YPD,H
F6,RdRp1-6594,2,4,YPD,H
F7,JEC21-3084,2,2,YPD,H
F8,JEC21-3084,2,5,YPD,H
F9,dcR1-2-6595,2,3,YPD,H
F10,RdRp1-6594,2,1,YPD,H
F11,RdRp1-6594,2,4,YPD,H
F12,,,,YPD,
G1,,,,YPD,
G2,JEC21-3084,1,3,YPD,H
G3,dcR1-2-6595,1,1,YPD,H
G4,dcR1-2-6595,1,4,YPD,H
G5,RdRp1-6594,1,2,YPD,H
G6,RdRp1-6594,1,5,YPD,H
G7,JEC21-3084,2,3,YPD,H
G8,dcR1-2-6595,2,1,YPD,H
G9,dcR1-2-6595,2,4,YPD,H
G10,RdRp1-6594,2,2,YPD,H
G11,RdRp1-6594,2,5,YPD,H
G12,,,,YPD,
H1,,,,YPD,
H2,,,,YPD,
H3,,,,YPD,
H4,,,,YPD,
H5,,,,YPD,
H6,,,,YPD,
H7,,,,YPD,
H8,,,,YPD,
H9,,,,YPD,
H10,,,,YPD,
H11,,,,YPD,
H12,,,,YPD,
