Well,Strain,BioRep,TechRep,Medium
A1,,,,YNB
A2,,,,YNB
A3,,,,YNB
A4,,,,YNB
A5,,,,YNB
A6,,,,YNB
A7,,,,YNB
A8,,,,YNB
A9,,,,YNB
A10,,,,YNB
A11,,,,YNB
A12,,,,YNBS
B1,,,,YNB
B2,JEC21-3084,1,1,YNB
B3,JEC21-3084,1,4,YNB
B4,dcR1-2-6595,1,2,YNB
B5,dcR1-2-6595,1,5,YNB
B6,RdRp1-6594,1,3,YNB
B7,JEC21-3084,2,1,YNB
B8,JEC21-3084,2,4,YNB
B9,dcR1-2-6595,2,2,YNB
B10,dcR1-2-6595,2,5,YNB
B11,RdRp1-6594,2,3,YNB
B12,,,,YNBS
C1,,,,YNB
C2,JEC21-3084,1,2,YNB
C3,JEC21-3084,1,5,YNB
C4,dcR1-2-6595,1,3,YNB
C5,RdRp1-6594,1,1,YNB
C6,RdRp1-6594,2,4,YNB
C7,JEC21-3084,2,2,YNB
C8,JEC21-3084,2,5,YNB
C9,dcR1-2-6595,2,3,YNB
C10,RdRp1-6594,2,1,YNB
C11,RdRp1-6594,2,4,YNB
C12,,,,YNBS
D1,,,,YNB
D2,JEC21-3084,1,3,YNB
D3,dcR1-2-6595,1,1,YNB
D4,dcR1-2-6595,1,4,YNB
D5,RdRp1-6594,1,2,YNB
D6,RdRp1-6594,1,5,YNB
D7,JEC21-3084,2,3,YNB
D8,dcR1-2-6595,2,1,YNB
D9,dcR1-2-6595,2,4,YNB
D10,RdRp1-6594,2,2,YNB
D11,RdRp1-6594,2,5,YNB
D12,,,,YNBS
E1,,,,YNB
E2,JEC21-3084,1,1,YNBS
E3,JEC21-3084,1,4,YNBS
E4,dcR1-2-6595,1,2,YNBS
E5,dcR1-2-6595,1,5,YNBS
E6,RdRp1-6594,1,3,YNBS
E7,JEC21-3084,2,1,YNBS
E8,JEC21-3084,2,4,YNBS
E9,dcR1-2-6595,2,2,YNBS
E10,dcR1-2-6595,2,5,YNBS
E11,RdRp1-6594,2,3,YNBS
E12,,,,YNBS
F1,,,,YNB
F2,JEC21-3084,1,2,YNBS
F3,JEC21-3084,1,5,YNBS
F4,dcR1-2-6595,1,3,YNBS
F5,RdRp1-6594,1,1,YNBS
F6,RdRp1-6594,2,4,YNBS
F7,JEC21-3084,2,2,YNBS
F8,JEC21-3084,2,5,YNBS
F9,dcR1-2-6595,2,3,YNBS
F10,RdRp1-6594,2,1,YNBS
F11,RdRp1-6594,2,4,YNBS
F12,,,,YNBS
G1,,,,YNB
G2,JEC21-3084,1,3,YNBS
G3,dcR1-2-6595,1,1,YNBS
G4,dcR1-2-6595,1,4,YNBS
G5,RdRp1-6594,1,2,YNBS
G6,RdRp1-6594,1,5,YNBS
G7,JEC21-3084,2,3,YNBS
G8,dcR1-2-6595,2,1,YNBS
G9,dcR1-2-6595,2,4,YNBS
G10,RdRp1-6594,2,2,YNBS
G11,RdRp1-6594,2,5,YNBS
G12,,,,YNBS
H1,,,,YNB
H2,,,,YNBS
H3,,,,YNBS
H4,,,,YNBS
H5,,,,YNBS
H6,,,,YNBS
H7,,,,YNBS
H8,,,,YNBS
H9,,,,YNBS
H10,,,,YNBS
H11,,,,YNBS
H12,,,,YNBS
