Well,Strain,BioRep,TechRep,Medium
A1,,,,YPD
A2,,,,YPD
A3,,,,YPD
A4,,,,YPD
A5,,,,YPD
A6,,,,YPD
A7,,,,YPD
A8,,,,YPD
A9,,,,YPD
A10,,,,YPD
A11,,,,YPD
A12,,,,YNB
B1,,,,YPD
B2,JEC21-3084,1,1,YPD
B3,dcR1-2-6595,1,1,YPD
B4,RdRp1-6594,1,1,YPD
B5,JEC21-3084,2,1,YPD
B6,dcR1-2-6595,2,1,YPD
B7,RdRp1-6594,2,1,YPD
B8,JEC21-3084,3,1,YPD
B9,dcR1-2-6595,3,1,YPD
B10,RdRp1-6594,3,1,YPD
B11,H99,1,1,YPD
B12,,,,YNB
C1,,,,YPD
C2,JEC21-3084,1,2,YPD
C3,dcR1-2-6595,1,2,YPD
C4,RdRp1-6594,1,2,YPD
C5,JEC21-3084,2,2,YPD
C6,dcR1-2-6595,2,2,YPD
C7,RdRp1-6594,2,2,YPD
C8,JEC21-3084,3,2,YPD
C9,dcR1-2-6595,3,2,YPD
C10,RdRp1-6594,3,2,YPD
C11,H99,1,2,YPD
C12,,,,YNB
D1,,,,YPD
D2,JEC21-3084,1,3,YPD
D3,dcR1-2-6595,1,3,YPD
D4,RdRp1-6594,1,3,YPD
D5,JEC21-3084,2,3,YPD
D6,dcR1-2-6595,2,3,YPD
D7,RdRp1-6594,2,3,YPD
D8,JEC21-3084,3,3,YPD
D9,dcR1-2-6595,3,3,YPD
D10,RdRp1-6594,3,3,YPD
D11,H99,1,3,YPD
D12,,,,YNB
E1,,,,YPD
E2,JEC21-3084,1,1,YNB
E3,dcR1-2-6595,1,1,YNB
E4,RdRp1-6594,1,1,YNB
E5,JEC21-3084,2,1,YNB
E6,dcR1-2-6595,2,1,YNB
E7,RdRp1-6594,2,1,YNB
E8,JEC21-3084,3,1,YNB
E9,dcR1-2-6595,3,1,YNB
E10,RdRp1-6594,3,1,YNB
E11,H99,1,1,YNB
E12,,,,YNB
F1,,,,YPD
F2,JEC21-3084,1,2,YNB
F3,dcR1-2-6595,1,2,YNB
F4,RdRp1-6594,1,2,YNB
F5,JEC21-3084,2,2,YNB
F6,dcR1-2-6595,2,2,YNB
F7,RdRp1-6594,2,2,YNB
F8,JEC21-3084,3,2,YNB
F9,dcR1-2-6595,3,2,YNB
F10,RdRp1-6594,3,2,YNB
F11,H99,1,2,YNB
F12,,,,YNB
G1,,,,YPD
G2,JEC21-3084,1,3,YNB
G3,dcR1-2-6595,1,3,YNB
G4,RdRp1-6594,1,3,YNB
G5,JEC21-3084,2,3,YNB
G6,dcR1-2-6595,2,3,YNB
G7,RdRp1-6594,2,3,YNB
G8,JEC21-3084,3,3,YNB
G9,dcR1-2-6595,3,3,YNB
G10,RdRp1-6594,3,3,YNB
G11,H99,1,3,YNB
G12,,,,YNB
H1,,,,YPD
H2,,,,YNB
H3,,,,YNB
H4,,,,YNB
H5,,,,YNB
H6,,,,YNB
H7,,,,YNB
H8,,,,YNB
H9,,,,YNB
H10,,,,YNB
H11,,,,YNB
H12,,,,YNB
